hidden_units,epochs,.metric,.estimator,mean,n,std_err
5,10,roc_auc,binary,0.9793049501878737,5,0.0023928168956128476
5,11,roc_auc,binary,0.9789439082837356,5,0.002463689389855717
5,12,roc_auc,binary,0.9805400211658886,5,0.002499062148690654
5,13,roc_auc,binary,0.9802569276751083,5,0.002358221516932331
5,14,roc_auc,binary,0.9807819830858967,5,0.002488396710253279
5,15,roc_auc,binary,0.9807156899263011,5,0.002539642486478331
5,16,roc_auc,binary,0.9801536182433436,5,0.002506421791847636
5,17,roc_auc,binary,0.9800044069922529,5,0.002178767157256096
5,18,roc_auc,binary,0.9801604675564564,5,0.0022035132543308977
5,19,roc_auc,binary,0.9807012294225552,5,0.0024771437521685317
5,20,roc_auc,binary,0.9812101084321101,5,0.0020041874422446885
6,10,roc_auc,binary,0.9801767507365421,5,0.0018882502336065915
6,11,roc_auc,binary,0.9800628184448754,5,0.0020900443726068188
6,12,roc_auc,binary,0.9800101669528697,5,0.0020389249598227657
6,13,roc_auc,binary,0.9806396140094996,5,0.0025124501554704445
6,14,roc_auc,binary,0.9798383856565176,5,0.002775715788488252
6,15,roc_auc,binary,0.9806279587557374,5,0.0020128137874802342
6,16,roc_auc,binary,0.9813760799476288,5,0.0026941668653001757
6,17,roc_auc,binary,0.9811618000732497,5,0.002506606970969659
6,18,roc_auc,binary,0.9804123831095772,5,0.0022453285543404832
6,19,roc_auc,binary,0.9798292081777634,5,0.0024647648593189506
6,20,roc_auc,binary,0.9813341082741606,5,0.0026184962477904753
7,10,roc_auc,binary,0.9797791625061582,5,0.0021314393294573895
7,11,roc_auc,binary,0.9802626663691849,5,0.0032163954542583696
7,12,roc_auc,binary,0.9805560195527961,5,0.0029425615425593575
7,13,roc_auc,binary,0.9800076607729024,5,0.002114120108506233
7,14,roc_auc,binary,0.9797600883529269,5,0.002029250703253593
7,15,roc_auc,binary,0.9806011809098591,5,0.002238480078117122
7,16,roc_auc,binary,0.9809574168733477,5,0.0023183282289238887
7,17,roc_auc,binary,0.9813990913851369,5,0.002411188102055291
7,18,roc_auc,binary,0.9804357362988991,5,0.0025989691203430754
7,19,roc_auc,binary,0.9813792055341689,5,0.002154457808023468
7,20,roc_auc,binary,0.9813210860131435,5,0.002593048524809744
8,10,roc_auc,binary,0.9794907790006842,5,0.0025994329281972873
8,11,roc_auc,binary,0.9808994041311745,5,0.002527031806816261
8,12,roc_auc,binary,0.9801206817263991,5,0.0024984883231723765
8,13,roc_auc,binary,0.9812675160445486,5,0.002751871721907004
8,14,roc_auc,binary,0.9811291412110642,5,0.002110245032066995
8,15,roc_auc,binary,0.9810060171638052,5,0.002352341601932555
8,16,roc_auc,binary,0.9816948511082824,5,0.0020657386175713887
8,17,roc_auc,binary,0.9806472109232945,5,0.0026739348518093837
8,18,roc_auc,binary,0.9812634577045815,5,0.002551245697007066
