mtry,min_n,.iter,.metric,.estimator,mean,n,std_err
1,1,1,roc_auc,binary,0.9823682847315259,5,0.0030121633820396057
1,10,7,roc_auc,binary,0.9826864863058234,5,0.0017897317279344364
2,9,0,roc_auc,binary,0.982701566216142,5,0.0028988456079832195
3,6,0,roc_auc,binary,0.983752937191763,5,0.002043148834230132
4,1,9,roc_auc,binary,0.9821224068681396,5,0.001946736672965667
4,10,6,roc_auc,binary,0.9824503697843855,5,0.0030985229965145313
5,4,0,roc_auc,binary,0.9811900090234377,5,0.0022485032289559117
6,1,5,roc_auc,binary,0.9816936407000962,5,0.0019109408549314668
6,10,8,roc_auc,binary,0.981696232318017,5,0.0022038163933907604
7,7,0,roc_auc,binary,0.9820205712224819,5,0.0025143534690771708
8,1,2,roc_auc,binary,0.9796367008533885,5,0.001991872547322885
8,10,10,roc_auc,binary,0.9806801189609212,5,0.002401073133463268
9,10,4,roc_auc,binary,0.9800456239266198,5,0.002401564388382905
10,2,0,roc_auc,binary,0.9803074147389604,5,0.0024241536482722255
10,10,3,roc_auc,binary,0.9800914545848305,5,0.00271284169253328
