hidden_units,epochs,.iter,.metric,.estimator,mean,n,std_err
5,12,9,roc_auc,binary,0.9792920347057087,5,0.002339382302267346
5,20,2,roc_auc,binary,0.9795257731669301,5,0.0022684757683608388
6,10,0,roc_auc,binary,0.9807984941005249,5,0.002859166075702775
7,20,6,roc_auc,binary,0.9814452353158436,5,0.0023619961386374855
8,10,1,roc_auc,binary,0.9798795670475061,5,0.003051428762105843
8,12,0,roc_auc,binary,0.9803488809231271,5,0.002196871644240587
9,17,0,roc_auc,binary,0.9812854438866484,5,0.002159180235511965
10,10,5,roc_auc,binary,0.9813134819609295,5,0.002368055026790921
11,20,4,roc_auc,binary,0.9810035109838379,5,0.002821535761797386
12,14,0,roc_auc,binary,0.9805307724516605,5,0.002681870329486194
13,10,7,roc_auc,binary,0.9803417966370527,5,0.002732124067203888
13,20,10,roc_auc,binary,0.9807480070366729,5,0.002531517366438657
14,20,0,roc_auc,binary,0.9811919100736705,5,0.002514839480662944
15,10,3,roc_auc,binary,0.9809256693493321,5,0.0027193211961959044
15,16,8,roc_auc,binary,0.9812358752993853,5,0.0021302284456921586
