hidden_units,epochs,.iter,.metric,.estimator,mean,n,std_err
5,11,0,roc_auc,binary,0.9793297914401409,5,0.0023255241969046513
9,12,0,roc_auc,binary,0.9793197381665951,5,0.0028755707870958295
9,19,10,roc_auc,binary,0.9812100016532579,5,0.002026482802382626
10,19,0,roc_auc,binary,0.9809312655724612,5,0.002300401321715561
11,17,3,roc_auc,binary,0.9811365174287358,5,0.0024788140887285256
11,18,5,roc_auc,binary,0.9807220266116932,5,0.002693026283278407
11,19,7,roc_auc,binary,0.9809164704553207,5,0.0022096829909340047
12,16,4,roc_auc,binary,0.9807147073526573,5,0.002133999420102595
12,17,0,roc_auc,binary,0.9812305710078534,5,0.0025034603269083683
12,18,2,roc_auc,binary,0.9811439861484212,5,0.002358242875208227
12,19,8,roc_auc,binary,0.9812450741933968,5,0.002370820102415541
13,15,0,roc_auc,binary,0.9808185935091973,5,0.0025698090428744633
13,17,1,roc_auc,binary,0.9809722689491238,5,0.0025375820638198873
13,18,6,roc_auc,binary,0.980988495170574,5,0.0026009767356185757
13,19,9,roc_auc,binary,0.9810671840461949,5,0.0024563141185544955
