mtry,min_n,.metric,.estimator,mean,n,std_err
2,2,roc_auc,binary,0.9823915596213135,5,0.0026145329046596134
2,4,roc_auc,binary,0.9824750472991649,5,0.0020916317959664968
2,5,roc_auc,binary,0.9817413652701207,5,0.0027384192512401894
2,6,roc_auc,binary,0.98161332850336,5,0.0027238555760201975
3,10,roc_auc,binary,0.9826899679210154,5,0.0027487450968450913
5,5,roc_auc,binary,0.9814367768840953,5,0.002521723670703409
5,8,roc_auc,binary,0.9807737809680086,5,0.0027962121700272685
7,1,roc_auc,binary,0.9808975955829556,5,0.0015676693872303789
8,1,roc_auc,binary,0.9796367008533885,5,0.001991872547322885
9,7,roc_auc,binary,0.9804704243310682,5,0.002263819860670574
