hidden_units,epochs,.metric,.estimator,mean,n,std_err
5,13,roc_auc,binary,0.979132656263801,5,0.002697555391157141
5,16,roc_auc,binary,0.9801227963343362,5,0.0024121086948822026
7,13,roc_auc,binary,0.9804524110510151,5,0.0022897649359201384
8,15,roc_auc,binary,0.9811342319448918,5,0.00265772493274637
9,10,roc_auc,binary,0.9800911484507536,5,0.0024431477926780644
10,12,roc_auc,binary,0.9804672133065747,5,0.0025919629093147834
11,19,roc_auc,binary,0.9805498466048918,5,0.002681324180145293
14,11,roc_auc,binary,0.9815256400889524,5,0.002296903001401851
14,16,roc_auc,binary,0.9805232823167178,5,0.002208421528591281
14,17,roc_auc,binary,0.9813283340367056,5,0.002397054485395559
