"","mtry","min_n",".metric",".estimator","mean","n","std_err",".config"
"1",9,5,"accuracy","binary",0.995228820738547,3,0.00021229516248167,"Model1"
"2",9,5,"roc_auc","binary",0.99987890114539,3,1.41654550335526e-06,"Model1"
"3",12,5,"accuracy","binary",0.995194921715246,3,0.000206991712942153,"Model2"
"4",12,5,"roc_auc","binary",0.999881537203413,3,3.40382525928059e-06,"Model2"
"5",15,5,"accuracy","binary",0.99516949971009,3,0.000278820997595786,"Model3"
"6",15,5,"roc_auc","binary",0.999880115924544,3,6.52433054544723e-06,"Model3"
"7",9,22,"accuracy","binary",0.994161025420518,3,0.000252585023584662,"Model4"
"8",9,22,"roc_auc","binary",0.999809553836002,3,1.93778734622047e-05,"Model4"
"9",12,22,"accuracy","binary",0.994500005742413,3,0.000198125495112145,"Model5"
"10",12,22,"roc_auc","binary",0.999804381243872,3,1.25501015015178e-05,"Model5"
"11",15,22,"accuracy","binary",0.994296619359131,3,0.000280852909929335,"Model6"
"12",15,22,"roc_auc","binary",0.999790235787562,3,2.52183183072583e-05,"Model6"
"13",9,40,"accuracy","binary",0.992745779657136,3,0.000520989765167111,"Model7"
"14",9,40,"roc_auc","binary",0.999718395601197,3,2.10750545251566e-05,"Model7"
"15",12,40,"accuracy","binary",0.993067807666414,3,0.000328216981287779,"Model8"
"16",12,40,"roc_auc","binary",0.999720386666489,3,1.45720539509229e-05,"Model8"
"17",15,40,"accuracy","binary",0.993067807666414,3,0.000328216981287779,"Model9"
"18",15,40,"roc_auc","binary",0.999712460948601,3,1.87378871893769e-05,"Model9"
