eta,max_depth,gamma,colsample_bytree,min_child_weight,subsample,nrounds,Accuracy,Kappa,AccuracySD,KappaSD
0.2,2,0,0.6,1,1,50,0.8036442430808628,0.5706670076232815,0.030087541071806074,0.07169693333218179
0.2,2,0,0.7,1,1,50,0.7994188909681867,0.56266581366876,0.03537279078777624,0.08365947662581331
0.2,2,0,0.8,1,1,50,0.7980399881808332,0.5593247965831876,0.028549780092485672,0.06617588412448668
0.2,2,0,0.9,1,1,50,0.8036245444696148,0.5715749754210868,0.03682055909859144,0.08590706784740638
0.2,2,0,1,1,1,50,0.8050329951738402,0.5755777839740823,0.028721156153986748,0.06915743083116759
0.4,2,0,0.6,1,1,50,0.7993991923569388,0.5668523114735824,0.04703432234887269,0.1022232677134452
0.4,2,0,0.7,1,1,50,0.8008371909780361,0.5683441656968863,0.028299070785234436,0.06095279876643473
0.4,2,0,0.8,1,1,50,0.807840047276667,0.5834502342612233,0.019070586870011376,0.04608317782022799
0.4,2,0,0.9,1,1,50,0.807840047276667,0.5849752960979843,0.03397669622923183,0.07649104773853897
0.4,2,0,1,1,1,50,0.8064315965724417,0.5806425766948424,0.03609084488211821,0.07999290694345093
0.6000000000000001,2,0,0.6,1,1,50,0.8036343937752388,0.578295248419547,0.028576517408883992,0.06222335346961079
0.6000000000000001,2,0,0.7,1,1,50,0.7938244853737811,0.5574344400152309,0.03534582888734749,0.07717585874631248
0.6000000000000001,2,0,0.8,1,1,50,0.8106470993794938,0.5947241064376825,0.032539846086360694,0.07019701301043883
0.6000000000000001,2,0,0.9,1,1,50,0.7980104402639614,0.5655209799763962,0.02475417284512467,0.05601645190848064
0.6000000000000001,2,0,1,1,1,50,0.8092189500640204,0.5907625546152666,0.026299398174877135,0.05818006258916048
0.8,2,0,0.6,1,1,50,0.7994582881906825,0.5709286797991031,0.02486443500753861,0.052601169968520246
0.8,2,0,0.7,1,1,50,0.8092091007583966,0.5943346604896554,0.03370813152936711,0.07063608511639569
0.8,2,0,0.8,1,1,50,0.8134640007879445,0.5999060770196776,0.034879866530501416,0.07715370726094264
0.8,2,0,0.9,1,1,50,0.7938244853737811,0.5623176554742667,0.046607378368130704,0.09753125265403907
0.8,2,0,1,1,1,50,0.7952427853836305,0.5597711938691888,0.023833498232828994,0.05235975650624008
1,2,0,0.6,1,1,50,0.8036836403033586,0.5807439286616695,0.03024624176537341,0.06942495417871201
1,2,0,0.7,1,1,50,0.7952329360780065,0.5630589874094825,0.030240155298091424,0.061438311732378854
1,2,0,0.8,1,1,50,0.8036737909977346,0.5801512555964327,0.037493487697193975,0.08077617846506642
1,2,0,0.9,1,1,50,0.8092484979808924,0.594855082228741,0.02400675054445967,0.050732158645340614
1,2,0,1,1,1,50,0.80084704028366,0.5754475122344418,0.04496555911987711,0.09462594689542889
0.2,3,0,0.6,1,1,50,0.7994287402738107,0.5657372164281926,0.028839075497043638,0.06088119967446627
0.2,3,0,0.7,1,1,50,0.8036343937752388,0.5726443545189001,0.030686111934182407,0.07101330871448895
0.2,3,0,0.8,1,1,50,0.803624544469615,0.5765907652193037,0.030305098622195163,0.06576118400734829
0.2,3,0,0.9,1,1,50,0.8008174923667881,0.5662201341872367,0.03098149927056315,0.0734585717970085
0.2,3,0,1,1,1,50,0.7980301388752093,0.5623000841654655,0.01955162833359418,0.04841097304117351
0.4,3,0,0.6,1,1,50,0.8121047966118389,0.5975249173823023,0.03382669418239201,0.07319787519290928
0.4,3,0,0.7,1,1,50,0.8064512951836895,0.5860315166080297,0.02915208120520424,0.06309094028368079
0.4,3,0,0.8,1,1,50,0.8050329951738402,0.5833213549677274,0.01961594987716601,0.04244442922949802
0.4,3,0,0.9,1,1,50,0.8106766472963656,0.592965975031481,0.02507285792801852,0.0570635016222439
0.4,3,0,1,1,1,50,0.8022456416822614,0.577134290778323,0.02860800715647896,0.058490821542802406
0.6000000000000001,3,0,0.6,1,1,50,0.7994681374963065,0.5710347769288643,0.04019299674301771,0.08455911217273136
0.6000000000000001,3,0,0.7,1,1,50,0.8120358514724711,0.5971597671264541,0.022087888621934622,0.04606323078122562
0.6000000000000001,3,0,0.8,1,1,50,0.807840047276667,0.5879773778443281,0.020930295878233172,0.04786525480045635
0.6000000000000001,3,0,0.9,1,1,50,0.80084704028366,0.5742488835643274,0.019454965436467176,0.04121967113328676
0.6000000000000001,3,0,1,1,1,50,0.7938244853737811,0.5598868598422339,0.012771553244088976,0.03050271885891254
0.8,3,0,0.6,1,1,50,0.7994385895794347,0.5700908362729494,0.017543642786264423,0.041107728992448626
0.8,3,0,0.7,1,1,50,0.7994385895794346,0.5724140242953392,0.03267776371223365,0.07398513278679983
0.8,3,0,0.8,1,1,50,0.7952329360780065,0.565615312774862,0.026351609663046865,0.04931228202139729
0.8,3,0,0.9,1,1,50,0.7910075839653304,0.553772830381062,0.02463321969524703,0.049436909812289674
0.8,3,0,1,1,1,50,0.796621688170984,0.5658598818599188,0.022832986934149996,0.04411450779462593
1,3,0,0.6,1,1,50,0.7896680784004728,0.5516491237455079,0.02524162013034661,0.05848421260743451
1,3,0,0.7,1,1,50,0.7868019304639023,0.5454510535892856,0.017753540728958832,0.04495228828060179
1,3,0,0.8,1,1,50,0.7938146360681572,0.5642084022318861,0.025183000774738902,0.04607316754636377
1,3,0,0.9,1,1,50,0.7924258839751798,0.5584660010318362,0.01754386396771674,0.03830117793123197
1,3,0,1,1,1,50,0.792396336058308,0.5601710443207907,0.018696585627997545,0.03936886466000326
0.2,4,0,0.6,1,1,50,0.8134836993991924,0.5980310822394622,0.030606937111591813,0.06699037660844333
0.2,4,0,0.7,1,1,50,0.8092878952033882,0.5884648894470622,0.03236507904906879,0.0720349712746423
0.2,4,0,0.8,1,1,50,0.8050428444794642,0.5800581052519793,0.040089009099096504,0.08833513454576677
0.2,4,0,0.9,1,1,50,0.8050625430907121,0.5827848005838325,0.022753617422809843,0.049421110164015965
0.2,4,0,1,1,1,50,0.8036343937752388,0.5770682434509857,0.039060190423009955,0.08460039968820136
0.4,4,0,0.6,1,1,50,0.8022554909878854,0.5776459315896726,0.030140959263188244,0.06697325596340213
0.4,4,0,0.7,1,1,50,0.8036442430808628,0.5794478054397103,0.014853621527701342,0.03392590169896797
0.4,4,0,0.8,1,1,50,0.8008667388949079,0.5744803322140799,0.028035694223897813,0.06230363399001001
0.4,4,0,0.9,1,1,50,0.7994582881906825,0.5721950442836587,0.03215444566588251,0.06671921257921623
0.4,4,0,1,1,1,50,0.8120555500837191,0.5971696610496314,0.020692615251747586,0.043075955100922034
0.6000000000000001,4,0,0.6,1,1,50,0.8036442430808628,0.5813666732806586,0.04048200007177621,0.08523998324151671
0.6000000000000001,4,0,0.7,1,1,50,0.7994681374963065,0.5751735316523474,0.03463825543164888,0.07046321680442841
0.6000000000000001,4,0,0.8,1,1,50,0.7881906825568797,0.5478926256853073,0.04139914007000569,0.08496530258302853
0.6000000000000001,4,0,0.9,1,1,50,0.7980301388752093,0.5695683285049845,0.01948079616157131,0.03782448536983984
0.6000000000000001,4,0,1,1,1,50,0.7895498867329853,0.5518416385205892,0.03486580459422258,0.06924297524504079
0.8,4,0,0.6,1,1,50,0.8008667388949079,0.5747658781691061,0.02666954357889117,0.05711449362953824
0.8,4,0,0.7,1,1,50,0.7868216290751502,0.5464763762345242,0.03717304620313765,0.07606346169659846
0.8,4,0,0.8,1,1,50,0.7979907416527134,0.5704813787568217,0.030688214144349715,0.06418188215661981
0.8,4,0,0.9,1,1,50,0.7938047867625333,0.5629196976169403,0.02108861459340684,0.03733953497768488
0.8,4,0,1,1,1,50,0.7923963360583078,0.559761801552151,0.027198211463286263,0.056186043857395875
1,4,0,0.6,1,1,50,0.7881808332512558,0.5537264744784208,0.027663629527760393,0.0546910383116216
1,4,0,0.7,1,1,50,0.792386486752684,0.5588874473858757,0.021838056252065162,0.042076851974930635
1,4,0,0.8,1,1,50,0.7811976755638728,0.5369734133952646,0.025002399761800187,0.05453509938449782
1,4,0,0.9,1,1,50,0.796621688170984,0.5672017509027302,0.020529672066836386,0.04331903100941444
1,4,0,1,1,1,50,0.7811976755638728,0.5366774574861943,0.026900101771348953,0.05432398991786635
0.2,5,0,0.6,1,1,50,0.8050723923963361,0.5799127078296078,0.03317959751878134,0.07225964765636242
0.2,5,0,0.7,1,1,50,0.8106864966019895,0.5941541135408013,0.034531165463646304,0.07461244904596925
0.2,5,0,0.8,1,1,50,0.8036639416921108,0.5774660992080968,0.0394649613410451,0.08218967700455486
0.2,5,0,0.9,1,1,50,0.8106470993794938,0.594264967505561,0.028104799872987855,0.059621766861008854
0.2,5,0,1,1,1,50,0.7994188909681867,0.5715537904773609,0.029267067062210796,0.060211923527084786
0.4,5,0,0.6,1,1,50,0.8008667388949079,0.5762334533225961,0.0346900038639508,0.07462419226085654
0.4,5,0,0.7,1,1,50,0.8106864966019895,0.5976906126041913,0.02819509750257243,0.05879359755826622
0.4,5,0,0.8,1,1,50,0.803614695163991,0.5813649676766465,0.02952534513291874,0.060424219212105286
0.4,5,0,0.9,1,1,50,0.8022357923766374,0.5789674356187806,0.031096529008651244,0.06261022095863708
0.4,5,0,1,1,1,50,0.7994287402738107,0.573170435090368,0.020863633245515843,0.044051273718038284
0.6000000000000001,5,0,0.6,1,1,50,0.7854033290653009,0.5467081921777536,0.02964014301314136,0.058334235411167286
0.6000000000000001,5,0,0.7,1,1,50,0.7924357332808037,0.560423987384639,0.025874104315872757,0.052282221524638316
0.6000000000000001,5,0,0.8,1,1,50,0.7909878853540825,0.5573659407573922,0.03396733359137855,0.06792291371210817
0.6000000000000001,5,0,0.9,1,1,50,0.8008273416724121,0.5769369367229689,0.016313524757653384,0.0352994168309572
0.6000000000000001,5,0,1,1,1,50,0.7882005318625037,0.5518031495077668,0.03347687195458696,0.06447457430524937
0.8,5,0,0.6,1,1,50,0.7993893430513149,0.5767065522815251,0.035377051644079914,0.07146978778192693
0.8,5,0,0.7,1,1,50,0.7854131783709248,0.5447491721449916,0.02824020245412197,0.06236709297963726
0.8,5,0,0.8,1,1,50,0.7670934699103713,0.5084459100063276,0.041312430773063465,0.08239327471021043
0.8,5,0,0.9,1,1,50,0.769920220624446,0.5128734262484405,0.028456312723555942,0.057308260820545416
0.8,5,0,1,1,1,50,0.7727075741160249,0.5174938146821547,0.03917049157891849,0.08084961649712617
1,5,0,0.6,1,1,50,0.7881808332512558,0.5542989205576742,0.039323381998677784,0.08325890817989513
1,5,0,0.7,1,1,50,0.7755934206638432,0.5274424245078568,0.0335947131194346,0.06709656338887493
1,5,0,0.8,1,1,50,0.7769920220624446,0.5266906950500161,0.020132785392605077,0.0429824122227693
1,5,0,0.9,1,1,50,0.7755343248300994,0.5245518388311545,0.028650794600611415,0.05466779433838114
1,5,0,1,1,1,50,0.7685117699202206,0.5105316920981905,0.028350041884853162,0.05361234097404712
0.2,6,0,0.6,1,1,50,0.8134738500935684,0.6002912611855351,0.0338109354334559,0.07217364976309283
0.2,6,0,0.7,1,1,50,0.8050822417019601,0.5845004678957888,0.033470688231929495,0.06630945224137218
0.2,6,0,0.8,1,1,50,0.8022160937653896,0.5792953293555673,0.02264350864564496,0.04534520076895521
0.2,6,0,0.9,1,1,50,0.7965921402541121,0.5646112659507688,0.03084699686919599,0.06611601522575683
0.2,6,0,1,1,1,50,0.7923963360583078,0.5554970400964125,0.03932719325189216,0.08318238108629206
0.4,6,0,0.6,1,1,50,0.803604845858367,0.5832157631209632,0.034233032499004175,0.06902069653580663
0.4,6,0,0.7,1,1,50,0.7952230867723825,0.5647149018842575,0.027345404675196815,0.05503059936866282
0.4,6,0,0.8,1,1,50,0.8064118979611937,0.5882108423590615,0.038125401307826316,0.07736275749113003
0.4,6,0,0.9,1,1,50,0.7952033881611347,0.5660483191305157,0.03282785532545036,0.0653062869391869
0.4,6,0,1,1,1,50,0.7853540825371811,0.5446444463185915,0.0297058960086246,0.05954986628633471
0.6000000000000001,6,0,0.6,1,1,50,0.8064315965724417,0.5896659348255824,0.033166679341959486,0.07097685750493439
0.6000000000000001,6,0,0.7,1,1,50,0.7938146360681572,0.5626168057926082,0.021558153534906154,0.048385492476691876
0.6000000000000001,6,0,0.8,1,1,50,0.7952033881611347,0.5635347052069184,0.023202631202491913,0.04664773646556636
0.6000000000000001,6,0,0.9,1,1,50,0.7909780360484586,0.5570226615845587,0.03070130230025541,0.0639817416076253
0.6000000000000001,6,0,1,1,1,50,0.7867329853245346,0.5466687381800287,0.04359174043254925,0.08725479352013862
0.8,6,0,0.6,1,1,50,0.7951738402442627,0.56649303925953,0.03270641346236812,0.06931660274098372
0.8,6,0,0.7,1,1,50,0.7797596769427755,0.5306534834323253,0.02139024522026632,0.03813991667037926
0.8,6,0,0.8,1,1,50,0.79237663744706,0.5599454921128929,0.030855848319434706,0.06213057127278642
0.8,6,0,0.9,1,1,50,0.7755146262188516,0.5266337871033949,0.030128122741974985,0.05992177230077501
0.8,6,0,1,1,1,50,0.7783610755441741,0.5332898059555019,0.02506923040579251,0.04861476020836286
1,6,0,0.6,1,1,50,0.7853245346203093,0.5454492405113549,0.039205145261913564,0.08244388028859571
1,6,0,0.7,1,1,50,0.7797498276371516,0.5356443776242572,0.02090866311479279,0.04273758703384153
1,6,0,0.8,1,1,50,0.7741258741258741,0.5249709923365083,0.036125401537317074,0.07475078961648006
1,6,0,0.9,1,1,50,0.774155422042746,0.5249079981697575,0.03369133836431701,0.0703460312718447
1,6,0,1,1,1,50,0.7741160248202502,0.5222855181198323,0.035112228896385766,0.0700864348386704
0.2,2,0,0.6,1,1,200,0.8050723923963361,0.5817088167658716,0.03250879665052396,0.07370569493721377
0.2,2,0,0.7,1,1,200,0.8008568895892839,0.5720671259095546,0.033740851825125866,0.07452440531099172
0.2,2,0,0.8,1,1,200,0.8050329951738402,0.5797760687020166,0.023651616068595265,0.05339890662686741
0.2,2,0,0.9,1,1,200,0.7994582881906825,0.5687940219065153,0.03407348027501514,0.07556947649640423
0.2,2,0,1,1,1,200,0.8022456416822614,0.5757281307395787,0.026430699270640932,0.05692091256481698
0.4,2,0,0.6,1,1,200,0.8050428444794642,0.5839987208855388,0.03186093187604021,0.06395350255218629
0.4,2,0,0.7,1,1,200,0.7952132374667586,0.5616664330863534,0.02831042799518763,0.060040177652637916
0.4,2,0,0.8,1,1,200,0.7952132374667585,0.5621941664756454,0.024614462132123132,0.05263713492518255
0.4,2,0,0.9,1,1,200,0.7980498374864572,0.5663241057434993,0.02327966259016821,0.051657774430023125
0.4,2,0,1,1,1,200,0.7994484388850587,0.5699502379105119,0.030642157773499254,0.06449658820029956
0.6000000000000001,2,0,0.6,1,1,200,0.7980399881808332,0.5700463947143329,0.02630861814058468,0.05576887433771207
0.6000000000000001,2,0,0.7,1,1,200,0.79237663744706,0.5581204716939774,0.028734663411842574,0.05391950343339066
0.6000000000000001,2,0,0.8,1,1,200,0.7952132374667585,0.5622771297859168,0.01622378268155183,0.03324466793308541
0.6000000000000001,2,0,0.9,1,1,200,0.7938244853737811,0.5609186804407228,0.02138262474402164,0.04281722988425824
0.6000000000000001,2,0,1,1,1,200,0.7980399881808332,0.5684311948337082,0.022840250929090578,0.04656985083697753
0.8,2,0,0.6,1,1,200,0.8078794444991628,0.5910633403562385,0.027604214353048537,0.059870196942426325
0.8,2,0,0.7,1,1,200,0.7980202895695854,0.5684777640248918,0.020815372067159322,0.04138236434869289
0.8,2,0,0.8,1,1,200,0.7937949374569093,0.5613229496467272,0.03256959635861083,0.06411231386030722
0.8,2,0,0.9,1,1,200,0.7825864276568502,0.5389670545677393,0.030278714299792068,0.06068818001657736
0.8,2,0,1,1,1,200,0.7923963360583078,0.5585238344534816,0.01865958033938302,0.031726509584597405
1,2,0,0.6,1,1,200,0.807859745887915,0.5901255354226076,0.01945747713660655,0.04165108759328611
1,2,0,0.7,1,1,200,0.8022653402935094,0.578577688047124,0.030866563351805102,0.06680237085742834
1,2,0,0.8,1,1,200,0.7881906825568797,0.5515961389219651,0.032835360361670625,0.06569604483748885
1,2,0,0.9,1,1,200,0.803604845858367,0.5829478966345918,0.028784521963562244,0.05699106702192654
