"max_depth","min_rows","sample_rate","logloss"
"10","30.0","0.3","0.004117739662617924"
"10","20.0","0.3","0.00418344359563647"
"10","30.0","0.5","0.004395923089457275"
"5","30.0","0.3","0.004489269029552971"
"10","10.0","0.3","0.00452686672091773"
"5","20.0","0.5","0.004565462155375276"
"10","10.0","0.5","0.004578020837369186"
"10","20.0","0.5","0.004640245009748031"
"5","20.0","0.3","0.004646289383136534"
"5","10.0","0.3","0.004696033917324592"
"5","30.0","0.5","0.004716007476540481"
"5","10.0","0.5","0.004717545695082022"
